map,map_number,match_type,match_date,match_id,event_name,head2head_team1_wins,head2head_team2_wins,head2head_map_team1,head2head_map_team2,team_1_players_id,team2_players_id,team_1_players_name,team_2_players_name,map_pick_team_1,map_pick_team_2,team1, team1_id,team1_rank,team1_result,team1_wins_1_month,team1_loses_1_month,team1_wins_3_month,team1_loses_3_month,team1_wr_1_month,team1_wr_3_month,team1_map_played_in_1_month,team1_map_played_in_3_month,team1_last_map_win,team_2,team_2_id,team2_rank,team2_result,team2_wins_1_month,team2_loses_1_month,team2_wins_3_month,team2_loses_3_month,team2_wr_1_month,team2_wr_3_month,team2_map_played_in_1_month,team2_map_played_in_3_month,team2_last_map_win,map_winner_team1,map_winner_team2
de_ancient,1,bo3,2022-02-02,2354222,Pinnacle Winter Series 1,0,2,0,0,10096 13602 14419 17956 20090,16612 12733 19575 20101 11940,hooxi nicoodoz roej jabbi zyphon,n0rb3r7 xsepower x5g7v fame nealan,0,1,copenhagen flames,7461,18,9,0,1,1,4,0.0,0.2,1,5,0,k23,7244,16,16,3,3,7,6,0.5384615384615384,0,6,13,0,0,1
de_inferno,2,bo3,2022-02-02,2354222,Pinnacle Winter Series 1,0,2,0,0,10096 13602 14419 17956 20090,16612 12733 19575 20101 11940,hooxi nicoodoz roej jabbi zyphon,n0rb3r7 xsepower x5g7v fame nealan,1,0,copenhagen flames,7461,18,13,1,1,5,6,0.5,0.45454545454545453,2,11,0,k23,7244,16,16,4,4,7,7,0.5,0,8,14,0,0,1
de_overpass,1,bo3,2022-02-02,2354217,Thunderpick Bitcoin Series 2022,0,2,0,0,10784 17937 8413 14759 9626,7499 15370 2898 20304 20110,rusty isak zero im xellow,spiidi slaxz raalz staehr marix,1,0,gamerlegion,9928,27,13,3,4,11,5,0.42857142857142855,0.6875,7,16,0,sprout,8637,22,16,4,0,8,3,0.7272727272727273,0,4,11,0,0,1
de_vertigo,2,bo3,2022-02-02,2354217,Thunderpick Bitcoin Series 2022,0,2,0,0,10784 17937 8413 14759 9626,7499 15370 2898 20304 20110,rusty isak zero im xellow,spiidi slaxz raalz staehr marix,0,1,gamerlegion,9928,27,22,1,1,4,6,0.5,0.4,2,10,0,sprout,8637,22,25,3,2,10,6,0.625,0,5,16,0,0,1
de_mirage,1,bo3,2022-02-02,2354211,ESL Challenger League Season 40 North America,0,0,0,0,19174 21091 19177 20765 21058,14495 15229 20620 16058 19712,walker pol0 consti elk fr3nk1e,droid nero woohoo geek castro,0,1,onet4p,11254,141,12,0,2,2,5,0.0,0.2857142857142857,2,7,0,valors,11358,209,16,1,0,6,2,0.75,0,1,8,0,0,1
de_ancient,2,bo3,2022-02-02,2354211,ESL Challenger League Season 40 North America,0,0,0,0,19174 21091 19177 20765 21058,14495 15229 20620 16058 19712,walker pol0 consti elk fr3nk1e,droid nero woohoo geek castro,1,0,onet4p,11254,141,16,1,0,1,3,1.0,0.25,1,4,0,valors,11358,209,12,0,1,0,2,0.0,0,1,2,0,1,0
de_inferno,3,bo3,2022-02-02,2354211,ESL Challenger League Season 40 North America,0,0,0,0,19174 21091 19177 20765 21058,14495 15229 20620 16058 19712,walker pol0 consti elk fr3nk1e,droid nero woohoo geek castro,0,0,onet4p,11254,141,22,1,0,3,3,1.0,0.5,1,6,0,valors,11358,209,19,0,0,1,1,0.5,0,0,2,0,1,0
de_inferno,1,bo3,2022-02-02,2354210,ESL Challenger League Season 40 North America,0,0,0,0,9298 13230 15501 16811 10611,13589 14203 15255 21128 16478,truth motm b0denmaster mistem fadey,spongey shakezullah swahn pluto momo,1,0,atk,9943,95,16,4,2,6,10,0.6666666666666666,0.375,6,16,0,bad news bears,9799,Unranked,7,0,1,7,7,0.5,0,1,14,0,1,0
de_nuke,2,bo3,2022-02-02,2354210,ESL Challenger League Season 40 North America,0,0,0,0,9298 13230 15501 16811 10611,13589 14203 15255 21128 16478,truth motm b0denmaster mistem fadey,spongey shakezullah swahn pluto momo,0,1,atk,9943,95,8,1,2,6,8,0.3333333333333333,0.42857142857142855,3,14,0,bad news bears,9799,Unranked,16,1,0,4,3,0.5714285714285714,0,1,7,0,0,1
de_overpass,3,bo3,2022-02-02,2354210,ESL Challenger League Season 40 North America,0,0,0,0,9298 13230 15501 16811 10611,13589 14203 15255 21128 16478,truth motm b0denmaster mistem fadey,spongey shakezullah swahn pluto momo,0,0,atk,9943,95,16,0,2,2,6,0.0,0.25,2,8,0,bad news bears,9799,Unranked,5,1,0,8,1,0.8888888888888888,0,1,9,0,1,0
